"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22335","End to End Validation @end-to-end @master","firefox","2026-06-22","passed","2026-06-22","","End_To_End_Test.spec.ts","",""
"","7561","User Registration @master @sanity @regression","chromium","2026-06-22","passed","2026-06-22","","AccountRegistration.spec.ts","",""
"","6193","Search product @master @regression","firefox","2026-06-22","passed","2026-06-22","","searchProduct.spec.ts","",""
"","16033","login test with CSV Data: Valid Login @master","firefox","2026-06-22","passed","2026-06-22","","DataDriven.spec.ts","",""
"","3360","Search product","chromium","2026-06-17","passed","2026-06-17","","searchProduct.spec.ts","",""
"","5019","logout test @master @regression","chromium","2026-06-22","passed","2026-06-22","","logout.spec.ts","",""
"","15899","login test with CSV Data: Invalid Login @master","firefox","2026-06-22","passed","2026-06-22","","DataDriven.spec.ts","",""
"","20807","login test with JSON Data: Invalid Login","chromium","2026-06-15","passed","2026-06-15","","DataDriven.spec.ts","",""
"","27776","logout test @master @regression","firefox","2026-06-22","passed","2026-06-22","","logout.spec.ts","",""
"","2810","Search product @master @regression","chromium","2026-06-22","passed","2026-06-22","","searchProduct.spec.ts","",""
"","21969","login test with JSON Data: Valid Login","chromium","2026-06-15","passed","2026-06-15","","DataDriven.spec.ts","",""
"","5918","Login test @master @regression","chromium","2026-06-22","passed","2026-06-22","","LoginTest.spec.ts","",""
"","4503","Login test @regression","chromium","2026-06-15","passed","2026-06-15","","LoginTest.spec.ts","",""
"","29851","User Registration @master @sanity @regression","firefox","2026-06-22","passed","2026-06-22","","AccountRegistration.spec.ts","",""
"","6363","login test with CSV Data: Invalid Login @master","chromium","2026-06-22","passed","2026-06-22","","DataDriven.spec.ts","",""
"","4753","User Registration","chromium","2026-06-15","passed","2026-06-15","","AccountRegistration.spec.ts","",""
"","24715","Login test @master @regression","firefox","2026-06-22","passed","2026-06-22","","LoginTest.spec.ts","",""
"","8227","End to End Validation @end-to-end","chromium","2026-06-18","passed","2026-06-18","","End_To_End_Test.spec.ts","",""
"","24472","login test with JSON Data: Valid Login @master","firefox","2026-06-22","passed","2026-06-22","","DataDriven.spec.ts","",""
"","7691","login test with JSON Data: Valid Login @master","chromium","2026-06-22","passed","2026-06-22","","DataDriven.spec.ts","",""
"","4056","Login test","chromium","2026-06-15","passed","2026-06-15","","LoginTest.spec.ts","",""
"","8269","Add to cart @master @regression","chromium","2026-06-22","passed","2026-06-22","","AddToCart.spec.ts","",""
"","10716","End to End Validation @end-to-end @master","chromium","2026-06-22","passed","2026-06-22","","End_To_End_Test.spec.ts","",""
"","4586","login test with CSV Data: Valid Login @master","chromium","2026-06-22","passed","2026-06-22","","DataDriven.spec.ts","",""
"","29476","login test with JSON Data: Invalid Login @master","firefox","2026-06-22","passed","2026-06-22","","DataDriven.spec.ts","",""
"","22274","login test with CSV Data: Valid Login","chromium","2026-06-15","passed","2026-06-15","","DataDriven.spec.ts","",""
"","7884","login test with JSON Data: Invalid Login @master","chromium","2026-06-22","passed","2026-06-22","","DataDriven.spec.ts","",""
"","27418","Add to cart @master @regression","firefox","2026-06-22","passed","2026-06-22","","AddToCart.spec.ts","",""
"","21209","login test with CSV Data: Invalid Login","chromium","2026-06-15","passed","2026-06-15","","DataDriven.spec.ts","",""
